score,tag,class,name,id,href,alt,type,aria-label,xpath.chrome,xpath.idxpath,isButton,location,dimension,visible_text,neighbour_text,attributes
357644.0,0.8,0.0,2.85,0.0,0.95,1.85,2.75,0.9,0.0,0.45,0.1,1.2,0.0,2.8,1.45,1.8,4
358532.0,0.8,0.0,2.85,0.0,0.95,1.85,2.75,0.9,0.0,0.45,0.0,1.2,0.35,2.8,1.45,1.8,4
357740.0,0.8,0.0,2.85,0.0,0.95,1.85,2.75,0.9,0.0,0.45,0.0,1.2,0.0,2.8,1.45,1.8,5
358052.0,0.8,0.0,2.85,0.0,0.95,1.85,2.75,0.9,0.0,0.0,0.1,1.2,0.35,2.8,1.45,1.8,4
357492.0,0.8,0.0,2.85,0.0,0.95,1.85,2.75,0.9,0.0,0.0,0.1,1.2,0.0,2.8,1.45,1.8,5
358172.0,0.8,0.0,2.85,0.0,0.95,1.85,2.75,0.9,0.0,0.0,0.0,1.2,0.35,2.8,1.45,1.8,5
357540.0,0.8,0.0,2.85,0.0,0.95,1.85,2.75,0.9,0.0,0.0,0.0,1.2,0.0,2.8,1.45,1.8,6
358280.0,0.8,0.0,2.85,0.0,0.95,1.85,2.75,0.0,0.1,0.45,0.1,1.2,0.35,2.8,1.45,1.8,3
357584.0,0.8,0.0,2.85,0.0,0.95,1.85,2.75,0.0,0.1,0.45,0.1,1.2,0.0,2.8,1.45,1.8,4
358376.0,0.8,0.0,2.85,0.0,0.95,1.85,2.75,0.0,0.1,0.45,0.0,1.2,0.35,2.8,1.45,1.8,4
357680.0,0.8,0.0,2.85,0.0,0.95,1.85,2.75,0.0,0.1,0.45,0.0,1.2,0.0,2.8,1.45,1.8,5
357960.0,0.8,0.0,2.85,0.0,0.95,1.85,2.75,0.0,0.1,0.0,0.1,1.2,0.35,2.8,1.45,1.8,4
357336.0,0.8,0.0,2.85,0.0,0.95,1.85,2.75,0.0,0.1,0.0,0.1,1.2,0.0,2.8,1.45,1.8,5
358008.0,0.8,0.0,2.85,0.0,0.95,1.85,2.75,0.0,0.1,0.0,0.0,1.2,0.35,2.8,1.45,1.8,5
357384.0,0.8,0.0,2.85,0.0,0.95,1.85,2.75,0.0,0.1,0.0,0.0,1.2,0.0,2.8,1.45,1.8,6
358184.0,0.8,0.0,2.85,0.0,0.95,1.85,2.75,0.0,0.0,0.45,0.1,1.2,0.35,2.8,1.45,1.8,4
357584.0,0.8,0.0,2.85,0.0,0.95,1.85,2.75,0.0,0.0,0.45,0.1,1.2,0.0,2.8,1.45,1.8,5
358280.0,0.8,0.0,2.85,0.0,0.95,1.85,2.75,0.0,0.0,0.45,0.0,1.2,0.35,2.8,1.45,1.8,5
357680.0,0.8,0.0,2.85,0.0,0.95,1.85,2.75,0.0,0.0,0.45,0.0,1.2,0.0,2.8,1.45,1.8,6
357800.0,0.8,0.0,2.85,0.0,0.95,1.85,2.75,0.0,0.0,0.0,0.1,1.2,0.35,2.8,1.45,1.8,5
357336.0,0.8,0.0,2.85,0.0,0.95,1.85,2.75,0.0,0.0,0.0,0.1,1.2,0.0,2.8,1.45,1.8,6
357920.0,0.8,0.0,2.85,0.0,0.95,1.85,2.75,0.0,0.0,0.0,0.0,1.2,0.35,2.8,1.45,1.8,6
357384.0,0.8,0.0,2.85,0.0,0.95,1.85,2.75,0.0,0.0,0.0,0.0,1.2,0.0,2.8,1.45,1.8,7
357084.0,0.8,0.0,2.85,0.0,0.0,1.85,2.75,0.9,0.1,0.45,0.1,1.2,0.35,2.8,1.45,1.8,3
356292.0,0.8,0.0,2.85,0.0,0.0,1.85,2.75,0.9,0.1,0.45,0.1,1.2,0.0,2.8,1.45,1.8,4
357180.0,0.8,0.0,2.85,0.0,0.0,1.85,2.75,0.9,0.1,0.45,0.0,1.2,0.35,2.8,1.45,1.8,4
356412.0,0.8,0.0,2.85,0.0,0.0,1.85,2.75,0.9,0.1,0.45,0.0,1.2,0.0,2.8,1.45,1.8,5
357052.0,0.8,0.0,2.85,0.0,0.0,1.85,2.75,0.9,0.1,0.0,0.1,1.2,0.35,2.8,1.45,1.8,4
356332.0,0.8,0.0,2.85,0.0,0.0,1.85,2.75,0.9,0.1,0.0,0.1,1.2,0.0,2.8,1.45,1.8,5
357100.0,0.8,0.0,2.85,0.0,0.0,1.85,2.75,0.9,0.1,0.0,0.0,1.2,0.35,2.8,1.45,1.8,5
356380.0,0.8,0.0,2.85,0.0,0.0,1.85,2.75,0.9,0.1,0.0,0.0,1.2,0.0,2.8,1.45,1.8,6
356988.0,0.8,0.0,2.85,0.0,0.0,1.85,2.75,0.9,0.0,0.45,0.1,1.2,0.35,2.8,1.45,1.8,4
356292.0,0.8,0.0,2.85,0.0,0.0,1.85,2.75,0.9,0.0,0.45,0.1,1.2,0.0,2.8,1.45,1.8,5
357084.0,0.8,0.0,2.85,0.0,0.0,1.85,2.75,0.9,0.0,0.45,0.0,1.2,0.35,2.8,1.45,1.8,5
356412.0,0.8,0.0,2.85,0.0,0.0,1.85,2.75,0.9,0.0,0.45,0.0,1.2,0.0,2.8,1.45,1.8,6
356892.0,0.8,0.0,2.85,0.0,0.0,1.85,2.75,0.9,0.0,0.0,0.1,1.2,0.35,2.8,1.45,1.8,5
356332.0,0.8,0.0,2.85,0.0,0.0,1.85,2.75,0.9,0.0,0.0,0.1,1.2,0.0,2.8,1.45,1.8,6
357012.0,0.8,0.0,2.85,0.0,0.0,1.85,2.75,0.9,0.0,0.0,0.0,1.2,0.35,2.8,1.45,1.8,6
356380.0,0.8,0.0,2.85,0.0,0.0,1.85,2.75,0.9,0.0,0.0,0.0,1.2,0.0,2.8,1.45,1.8,7
356424.0,0.8,0.0,2.85,0.0,0.0,1.85,2.75,0.0,0.1,0.45,0.1,1.2,0.35,2.8,1.45,1.8,4
355824.0,0.8,0.0,2.85,0.0,0.0,1.85,2.75,0.0,0.1,0.45,0.1,1.2,0.0,2.8,1.45,1.8,5
356520.0,0.8,0.0,2.85,0.0,0.0,1.85,2.75,0.0,0.1,0.45,0.0,1.2,0.35,2.8,1.45,1.8,5
355944.0,0.8,0.0,2.85,0.0,0.0,1.85,2.75,0.0,0.1,0.45,0.0,1.2,0.0,2.8,1.45,1.8,6
356296.0,0.8,0.0,2.85,0.0,0.0,1.85,2.75,0.0,0.1,0.0,0.1,1.2,0.35,2.8,1.45,1.8,5
355672.0,0.8,0.0,2.85,0.0,0.0,1.85,2.75,0.0,0.1,0.0,0.1,1.2,0.0,2.8,1.45,1.8,6
356344.0,0.8,0.0,2.85,0.0,0.0,1.85,2.75,0.0,0.1,0.0,0.0,1.2,0.35,2.8,1.45,1.8,6
355720.0,0.8,0.0,2.85,0.0,0.0,1.85,2.75,0.0,0.1,0.0,0.0,1.2,0.0,2.8,1.45,1.8,7
356328.0,0.8,0.0,2.85,0.0,0.0,1.85,2.75,0.0,0.0,0.45,0.1,1.2,0.35,2.8,1.45,1.8,5
355824.0,0.8,0.0,2.85,0.0,0.0,1.85,2.75,0.0,0.0,0.45,0.1,1.2,0.0,2.8,1.45,1.8,6
356424.0,0.8,0.0,2.85,0.0,0.0,1.85,2.75,0.0,0.0,0.45,0.0,1.2,0.35,2.8,1.45,1.8,6
355944.0,0.8,0.0,2.85,0.0,0.0,1.85,2.75,0.0,0.0,0.45,0.0,1.2,0.0,2.8,1.45,1.8,7
356136.0,0.8,0.0,2.85,0.0,0.0,1.85,2.75,0.0,0.0,0.0,0.1,1.2,0.35,2.8,1.45,1.8,6
