property,algo,score,tag,className,name,id,href,alt,xpath.chrome,xpath.idxpath,location,dimension,visible_text,neighbour_text,type,aria-label,attributes
location,distanceLinear,38808.0,jaroWinkler,stringSet (option),equal (option),equal (option),levenshtein (option),equal (option),equal,levenshtein,distanceLinear,area,equalIgnoreCase (option),stringSet (option),equal (option),jaccard (option),intersectValueCompare
attributes,intersectValueCompare,38808.0,jaroWinkler,stringSet (option),equal (option),equal (option),levenshtein (option),equal (option),equal,levenshtein,distanceLinear,area,equalIgnoreCase (option),stringSet (option),equal (option),jaccard (option),intersectValueCompare
id,levenshtein (option),38928.0,jaroWinkler,stringSet (option),equal (option),equal (option),levenshtein (option),equal (option),equal,levenshtein,distanceLinear,area,equalIgnoreCase (option),stringSet (option),equal (option),jaccard (option),intersectValueCompare
xpath.idxpath,levenshtein,38928.0,jaroWinkler,stringSet (option),equal (option),levenshtein (option),levenshtein (option),equal (option),equal,levenshtein,distanceLinear,area,equalIgnoreCase (option),stringSet (option),equal (option),jaccard (option),intersectValueCompare
href,levenshtein (option),38928.0,jaroWinkler,stringSet (option),equal (option),levenshtein (option),levenshtein (option),equal (option),equal,levenshtein,distanceLinear,area,equalIgnoreCase (option),stringSet (option),equal (option),jaccard (option),intersectValueCompare
dimension,perimeter,39312.0,jaroWinkler,stringSet (option),equal (option),levenshtein (option),levenshtein (option),equal (option),equal,levenshtein,distanceLinear,area,equalIgnoreCase (option),stringSet (option),equal (option),jaccard (option),intersectValueCompare
neighbour_text,stringSet (option),39312.0,jaroWinkler,stringSet (option),equal (option),levenshtein (option),levenshtein (option),equal (option),equal,levenshtein,distanceLinear,perimeter,equalIgnoreCase (option),stringSet (option),equal (option),jaccard (option),intersectValueCompare
xpath.idxpath,equal,38184.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
aria-label,stringSet (option),38280.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,equal,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
id,jaroWinkler (option),38400.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,equal,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),stringSet (option),intersectValueCompare
className,stringSet (option),38784.0,equal,levenshtein (option),equal (option),jaroWinkler (option),levenshtein (option),levenshtein (option),levenshtein,equal,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),stringSet (option),intersectValueCompare
xpath.chrome,equal,38880.0,equal,stringSet (option),equal (option),jaroWinkler (option),levenshtein (option),levenshtein (option),levenshtein,equal,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),stringSet (option),intersectValueCompare
location,distanceLinear,38880.0,equal,stringSet (option),equal (option),jaroWinkler (option),levenshtein (option),levenshtein (option),equal,equal,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),stringSet (option),intersectValueCompare
alt,equal (option),38880.0,equal,stringSet (option),equal (option),jaroWinkler (option),levenshtein (option),levenshtein (option),equal,equal,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),stringSet (option),intersectValueCompare
neighbour_text,stringSet (option),38880.0,equal,stringSet (option),equal (option),jaroWinkler (option),levenshtein (option),equal (option),equal,equal,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),stringSet (option),intersectValueCompare
tag,jaroWinkler,38976.0,equal,stringSet (option),equal (option),jaroWinkler (option),levenshtein (option),equal (option),equal,equal,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),stringSet (option),intersectValueCompare
href,levenshtein (option),38976.0,jaroWinkler,stringSet (option),equal (option),jaroWinkler (option),levenshtein (option),equal (option),equal,equal,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),stringSet (option),intersectValueCompare
name,equal (option),38976.0,jaroWinkler,stringSet (option),equal (option),jaroWinkler (option),levenshtein (option),equal (option),equal,equal,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),stringSet (option),intersectValueCompare
dimension,aspectRatio,39936.0,jaroWinkler,stringSet (option),equal (option),jaroWinkler (option),levenshtein (option),equal (option),equal,equal,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),stringSet (option),intersectValueCompare
attributes,intersectValueCompare,39936.0,jaroWinkler,stringSet (option),equal (option),jaroWinkler (option),levenshtein (option),equal (option),equal,equal,distanceLinear,aspectRatio,levenshtein (option),stringSet (option),equal (option),stringSet (option),intersectValueCompare
type,equal (option),39936.0,jaroWinkler,stringSet (option),equal (option),jaroWinkler (option),levenshtein (option),equal (option),equal,equal,distanceLinear,aspectRatio,levenshtein (option),stringSet (option),equal (option),stringSet (option),intersectValueCompare
visible_text,levenshtein (option),39936.0,jaroWinkler,stringSet (option),equal (option),jaroWinkler (option),levenshtein (option),equal (option),equal,equal,distanceLinear,aspectRatio,levenshtein (option),stringSet (option),equal (option),stringSet (option),intersectValueCompare
location,distanceManhattan,38376.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
href,levenshtein (option),38376.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceManhattan,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
